,marca,subtipo,tamaño,precio,pack,descuento,precio_final
593,Pepsi,Black,250,50.0,1,0.67,33.5
594,Pepsi,Black,500,68.43,1,1.0,68.4
595,Pepsi,Black,354,66.0,1,0.67,44.2
596,Pepsi,Pet,500,75.0,1,1.0,75.0
597,Pepsi,Black,2250,213.0,1,1.0,213.0
598,Pepsi,Pet,250,50.0,1,0.67,33.5
599,Pepsi,Light,1500,131.51,1,1.0,131.5
600,other,other,2000,1049.27,1,1.0,1049.3
601,other,other,2000,150.4,1,1.0,150.4
602,other,other,2000,149.6,1,1.0,149.6
603,other,other,3000,92.0,1,1.0,92.0
604,other,other,3000,98.0,1,1.0,98.0
605,other,other,other,149.0,1,1.0,149.0
606,Red Bull,Normal,250,146.0,1,1.0,146.0
607,Red Bull,Normal,3000,181.0,1,1.0,181.0
608,Red Bull,Normal,250,560.0,1,1.0,560.0
609,Red Bull,Normal,250,146.0,1,1.0,146.0
610,Gatorade,Cool Blue,500,101.0,1,0.75,75.8
611,Gatorade,Cool Blue,750,143.0,1,0.75,107.2
612,Gatorade,Naranja,500,101.0,1,0.75,75.8
613,Gatorade,Frutas Tropi,1250,192.0,1,0.75,144.0
614,Gatorade,Frutas Tropi,750,143.0,1,0.75,107.2
615,Gatorade,Naranja,1250,192.0,1,0.75,144.0
616,Gatorade,Manzana,750,143.0,1,0.75,107.2
617,Gatorade,Manzana,500,101.0,1,0.75,75.8
618,Gatorade,Cool Blue,1250,192.0,1,0.75,144.0
619,Gatorade,Normal,500,101.0,1,0.75,75.8
620,Gatorade,Frutas Tropi,500,101.0,1,0.75,75.8
621,Novecento,Raices Cabernet Sauvignon,750,400.0,1,1.0,400.0
622,Novecento,Tinto Cabernet Sauvignon,750,305.0,1,1.0,305.0
623,Novecento,Tinto Malbec,750,305.0,1,1.0,305.0
624,Novecento,Raices Malbec,750,400.0,1,1.0,400.0
625,Novecento,Espumante Extra Brut,750,361.0,1,1.0,361.0
626,Salentein,other,750,1240.0,1,1.0,1240.0
627,Salentein,other,750,1100.0,1,1.0,1100.0
628,other,other,750,990.0,1,1.0,990.0
629,Salentein,other,750,1900.0,1,1.0,1900.0
630,Salentein,other,750,1240.0,1,1.0,1240.0
631,Salentein,other,750,1280.0,1,1.0,1280.0
632,Salentein,other,750,730.0,1,1.0,730.0
633,Portillo,Other,750,461.0,1,1.0,461.0
634,Portillo,Other,750,461.0,1,1.0,461.0
635,Portillo,Tinto Malbec,750,461.0,1,1.0,461.0
636,Portillo,Tinto Malbec,500,970.0,1,1.0,970.0
637,Portillo,Tinto Cabernet Sauvignon,750,461.0,1,1.0,461.0
638,Portillo,Other,750,461.0,1,1.0,461.0
639,other,other,other,1329.0,1,1.0,1329.0
640,other,other,other,1899.0,1,1.0,1899.0
641,other,other,2000,119.0,1,1.0,119.0
642,other,other,3000,609.0,6,1.0,101.5
643,other,other,2000,169.0,1,1.0,169.0
644,other,other,2000,1199.0,1,1.0,1199.0
645,other,other,other,249.0,1,1.0,249.0
646,other,other,3000,999.0,1,1.0,999.0
647,Callia,other,750,445.0,1,1.0,445.0
648,Callia,Alta Cabernet Sauvignon,750,355.0,1,1.0,355.0
649,Callia,other,750,465.0,1,1.0,465.0
650,Callia,Other,750,355.0,1,1.0,355.0
651,Callia,other,750,445.0,1,1.0,445.0
652,Callia,Alta Malbec,750,355.0,1,1.0,355.0
653,Callia,other,750,355.0,1,1.0,355.0
654,Callia,other,750,445.0,1,1.0,445.0
655,Callia,other,750,445.0,1,1.0,445.0
656,Dante Robino,Chardonnay,750,672.0,1,1.0,672.0
657,Dante Robino,other,750,456.0,1,1.0,456.0
658,Dante Robino,other,750,456.0,1,1.0,456.0
659,Dante Robino,Malbec,750,672.0,1,1.0,672.0
660,Dante Robino,Cabernet Sauvignon,750,672.0,1,1.0,672.0
661,other,other,other,170.1,1,1.0,170.1
662,other,other,500,328.0,1,1.0,328.0
663,other,other,2000,1299.0,1,1.0,1299.0
664,other,other,other,132.0,1,1.0,132.0
665,other,other,other,155.0,1,1.0,155.0
666,other,other,2000,86.0,1,1.0,86.0
667,other,other,2000,245.0,1,1.0,245.0
668,other,other,1000,292.0,1,1.0,292.0
